"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.767156920E-1,-1.037038639E-1,1.413083822E-1,2.419812419E-2
3.792356300E-1,-9.589318186E-2,1.489858329E-1,2.271592617E-2
3.817314800E-1,-8.714988083E-2,1.558305919E-1,1.871898957E-2
3.842003520E-1,-7.907274365E-2,1.640409678E-1,1.683709770E-2
3.867215510E-1,-7.182829082E-2,1.675715894E-1,1.522166934E-2
3.891782160E-1,-6.260202825E-2,1.702861786E-1,1.164107956E-2
3.917110130E-1,-5.377545953E-2,1.714186370E-1,1.084169187E-2
3.942065780E-1,-4.536523670E-2,1.709523350E-1,1.017553546E-2
3.967252130E-1,-3.830398247E-2,1.675382853E-1,8.460183628E-3
3.991968530E-1,-3.060987778E-2,1.621424109E-1,8.210374974E-3
4.016458680E-1,-2.186657675E-2,1.537988037E-1,6.778139155E-3
4.041863130E-1,-1.470539812E-2,1.458715498E-1,6.944678258E-3
4.066817160E-1,-9.326186962E-3,1.350132078E-1,6.311830133E-3
4.091516870E-1,-2.614662983E-3,1.238883957E-1,6.878062617E-3
4.116723160E-1,1.548813190E-3,1.090497673E-1,7.444295567E-3
4.141920510E-1,7.560872938E-3,9.352833033E-2,8.693338372E-3
4.166613710E-1,1.209073514E-2,7.747396827E-2,7.277756464E-3
4.191570160E-1,1.783633232E-2,6.180264056E-2,5.212672055E-3
4.216331320E-1,2.196650021E-2,4.481565952E-2,5.928790197E-3
4.241467630E-1,2.493089624E-2,3.050995432E-2,4.779670853E-3
4.266400900E-1,3.001033701E-2,1.620424911E-2,4.429938737E-3
4.291113220E-1,3.167572618E-2,6.311830133E-3,5.778905004E-3
4.316321960E-1,3.210872784E-2,-3.963629249E-3,4.479900468E-3
4.341066020E-1,3.247511387E-2,-8.643376641E-3,3.297473071E-3
4.366222670E-1,2.922760323E-2,-1.275689155E-2,3.314126981E-3
4.390941910E-1,2.654632367E-2,-1.407254953E-2,3.847052110E-3
4.416118110E-1,2.241615579E-2,-1.337308530E-2,2.398162382E-3
