"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.364327810E-1,1.735796221E-2,7.725041509E-1,9.522488594E0
3.389271250E-1,2.192190848E-2,7.417536378E-1,9.572841644E0
3.414222020E-1,5.177461356E-2,7.393594384E-1,9.593192101E0
3.439168300E-1,5.162497237E-2,7.180360556E-1,9.637559891E0
3.464120290E-1,5.626374111E-2,7.074117661E-1,9.661501884E0
3.489073090E-1,5.499181896E-2,6.970119476E-1,9.711779594E0
3.513763840E-1,3.119944036E-2,7.022492886E-1,9.782184601E0
3.538975020E-1,3.606266156E-2,7.208043337E-1,9.894337654E0
3.563776460E-1,3.621229902E-2,7.418284416E-1,1.001015759E1
3.588867200E-1,3.621229902E-2,7.481132150E-1,1.006268024E1
3.613820810E-1,1.821837872E-1,7.785644531E-1,9.442806244E0
3.638616550E-1,2.814683318E-1,8.120833039E-1,9.304166794E0
3.663715830E-1,2.562544048E-1,7.887398005E-1,9.380706787E0
3.688197840E-1,1.940051615E-1,7.711573839E-1,9.606510162E0
3.713616550E-1,1.705868728E-2,7.379378676E-1,9.950377464E0
3.738568130E-1,-1.109562814E-1,6.947674155E-1,1.024665928E1
3.763512380E-1,-2.484732419E-1,6.631938815E-1,1.048435879E1
3.788466400E-1,-3.381809890E-1,6.395511031E-1,1.067784023E1
3.813306490E-1,-3.826233447E-1,6.081272364E-1,1.079971981E1
3.838361410E-1,-3.958662748E-1,5.884498954E-1,1.088942814E1
3.863315440E-1,-4.008043408E-1,5.645078421E-1,1.088119793E1
3.888258470E-1,-2.962076366E-1,5.034556985E-1,1.071794319E1
3.913215350E-1,-1.425298154E-1,4.516063035E-1,1.051900005E1
3.937764490E-1,-1.159691438E-2,3.960159123E-1,1.027696133E1
3.963105480E-1,8.701426536E-2,3.280056417E-1,1.014722538E1
3.988063160E-1,1.236006618E-1,2.688239515E-1,1.005557251E1
4.013005780E-1,1.127519384E-1,2.480243295E-1,9.966089249E0
4.037956550E-1,5.768529698E-2,2.242319584E-1,9.955389977E0
4.062595230E-1,2.169745229E-2,1.988683790E-1,9.894487381E0
4.087853200E-1,-3.097498417E-2,1.726817936E-1,9.874286652E0
4.112808850E-1,-6.202478707E-2,1.776198447E-1,9.889698982E0
4.137496760E-1,-7.638999820E-2,1.681926697E-1,9.900472641E0
4.162701010E-1,-3.658639640E-2,5.237316340E-2,9.720758438E0
4.187647710E-1,1.732803434E-1,2.349310368E-2,9.801262856E0
4.212600520E-1,1.351975799E-1,4.728548229E-2,9.971850395E0
4.237546810E-1,5.087678786E-3,4.339490458E-2,1.002773952E1
4.262510990E-1,-8.806172758E-2,3.576338664E-2,1.010173512E1
4.287456880E-1,-1.348234862E-1,8.604162373E-3,1.012807178E1
4.312258720E-1,-1.622071713E-1,2.184708975E-2,1.012440586E1
4.337097990E-1,-1.788169444E-1,2.888005786E-2,1.009208393E1
4.362043870E-1,-1.836053431E-1,2.626140043E-2,1.005863953E1
4.387246110E-1,-1.574187577E-1,2.229600400E-2,1.000372314E1
4.412199310E-1,-1.717091501E-1,2.087444626E-2,9.966687202E0
4.437143160E-1,-1.336263865E-1,5.162497517E-3,9.952471733E0
4.462100030E-1,-1.325789243E-1,-1.990180090E-2,9.952621460E0
4.487039810E-1,-1.375169605E-1,-3.935468942E-2,9.895384789E0
4.511931980E-1,-1.197100878E-1,-5.626374111E-2,9.877578735E0
4.536942150E-1,-1.378162354E-1,-8.731354028E-2,9.868151665E0
4.561895360E-1,-1.331774741E-1,-1.050456017E-1,9.893290520E0
4.586586110E-1,-1.201590002E-1,-1.242740303E-1,9.886257172E0
4.611788340E-1,-1.511339843E-1,-1.075894386E-1,9.858649254E0
4.636610120E-1,-1.785176694E-1,-9.696517140E-2,9.823933601E0
4.661433520E-1,-1.568202078E-1,-7.668927312E-2,9.835754395E0
4.686642670E-1,-1.101332754E-1,-4.938041046E-2,9.835754395E0
4.711589370E-1,-6.576573104E-2,-2.431611158E-2,9.857152939E0
4.736534430E-1,-1.803133078E-2,-1.862988248E-2,9.834557533E0
4.761410330E-1,9.060557187E-2,-2.042553388E-2,9.783307076E0
4.786178810E-1,1.815104187E-1,-1.346738427E-3,9.632845879E0
4.811386740E-1,2.974047363E-1,1.750759967E-2,9.453729630E0
4.836222340E-1,3.618237376E-1,8.230068721E-3,9.333271980E0
4.861282160E-1,3.939958215E-1,2.917933278E-3,9.258078575E0
4.886230080E-1,3.916016221E-1,-5.761047825E-3,9.207949638E0
4.911284600E-1,4.225017726E-1,-2.513911761E-2,9.177049637E0
4.936134450E-1,3.770119548E-1,-4.272153601E-2,9.206902504E0
4.960828060E-1,3.698293567E-1,-4.137479886E-2,9.234360695E0
4.986028650E-1,3.470844328E-1,-5.192425102E-2,9.253514290E0
5.010976570E-1,3.995324075E-1,-6.097732484E-2,9.362300873E0
5.035673440E-1,4.317793250E-1,-6.015431881E-2,9.499669075E0
5.060878910E-1,4.698620737E-1,-7.242459804E-2,9.677737236E0
5.085833340E-1,5.269488096E-1,-9.292495251E-2,9.866654396E0
5.110763770E-1,5.603179932E-1,-1.002571955E-1,1.006627178E1
5.135722670E-1,6.046107411E-1,-8.043020964E-2,1.020954895E1
5.160491140E-1,6.498761177E-1,-8.342296630E-2,1.032911015E1
5.185623390E-1,6.689549088E-1,-8.304887265E-2,1.039599800E1
5.210577820E-1,6.916249990E-1,-8.626607805E-2,1.047493172E1
5.235522880E-1,6.691793799E-1,-5.484218150E-2,1.052491093E1
5.260505790E-1,6.322188973E-1,-4.122516140E-2,1.058573818E1
5.285195740E-1,5.871031284E-1,-9.950900450E-3,1.059980392E1
5.310373950E-1,5.824643970E-1,1.526303589E-2,1.061641407E1
5.335323910E-1,5.959317684E-1,6.165069342E-2,1.059591389E1
5.360267760E-1,5.651063919E-1,9.135375917E-2,1.055147171E1
5.385178230E-1,5.449801683E-1,1.102829129E-1,1.051076984E1
5.409888110E-1,5.286696553E-1,1.648258269E-1,1.042570114E1
5.434864920E-1,4.979191422E-1,2.086696476E-1,1.035611916E1
5.459813660E-1,4.708347321E-1,2.548328340E-1,1.026386833E1
5.485198580E-1,4.543745816E-1,2.888005674E-1,1.015141487E1
5.509746920E-1,4.367173612E-1,3.193266392E-1,1.005205631E1
5.535027690E-1,4.024503529E-1,3.666869402E-1,9.964592934E0
5.559866140E-1,3.657143116E-1,4.093336761E-1,9.883114815E0
5.584560970E-1,3.742436469E-1,4.279635549E-1,9.807772636E0
5.609506850E-1,3.446153998E-1,4.586392641E-1,9.722778320E0
5.634710700E-1,3.208978474E-1,4.834791124E-1,9.671228409E0
5.659663100E-1,3.161842525E-1,4.867711365E-1,9.619827271E0
5.684614680E-1,3.090764880E-1,4.961234927E-1,9.586308479E0
5.709565440E-1,3.042132556E-1,4.876689613E-1,9.564910889E0
5.734254160E-1,2.864812016E-1,5.042787194E-1,9.538499832E0
5.759458430E-1,2.707692385E-1,4.828805625E-1,9.549347878E0
5.784407160E-1,2.386719882E-1,4.985924959E-1,9.555184364E0
5.809302580E-1,1.969979107E-1,5.177460909E-1,9.540669441E0
5.834315200E-1,1.600374132E-1,5.226093531E-1,9.532215118E0
5.858858250E-1,1.504606158E-1,5.190928578E-1,9.539397240E0
5.884204520E-1,1.373673230E-1,5.226841569E-1,9.533411980E0
5.909154470E-1,1.158943251E-1,5.179705620E-1,9.540519714E0
5.934084900E-1,9.449614584E-2,5.312135220E-1,9.545233727E0
5.959057630E-1,8.843582869E-2,5.229834318E-1,9.564387321E0
5.983631600E-1,7.407061756E-2,5.196914077E-1,9.595437050E0
6.008957940E-1,7.167641073E-2,5.187935829E-1,9.652748108E0
6.033901380E-1,5.140051618E-2,5.191676617E-1,9.694571495E0
6.058594580E-1,2.873042040E-2,5.219359994E-1,9.757793427E0
6.083801290E-1,3.815758973E-2,5.078700185E-1,9.797297478E0
6.108499370E-1,6.554127485E-2,4.937292933E-1,9.845181465E0
6.133697930E-1,6.172551215E-2,4.593874514E-1,9.897929192E0
6.158648290E-1,6.277297437E-2,4.455459714E-1,9.974469185E0
6.183274350E-1,7.811082900E-2,4.207809567E-1,1.003671837E1
6.208550630E-1,5.895721540E-2,4.080617428E-1,1.010121155E1
6.233245050E-1,6.943184882E-2,3.771615922E-1,1.013368320E1
6.258443210E-1,5.132569745E-2,3.513490856E-1,1.019585800E1
6.283393160E-1,4.758475721E-2,3.229927719E-1,1.024621105E1
6.308257260E-1,2.955342643E-2,3.111714125E-1,1.026648617E1
6.333295510E-1,2.341828495E-2,2.837877274E-1,1.027022743E1
6.357985450E-1,1.840542629E-2,2.469020486E-1,1.029072762E1
6.383190930E-1,2.790741436E-2,2.371007800E-1,1.025496483E1
6.408146580E-1,2.177227102E-2,2.154781520E-1,1.022877789E1
6.432836120E-1,1.563712955E-2,1.923591495E-1,1.016435909E1
6.458045670E-1,2.783259563E-2,2.243067771E-1,1.011639977E1
6.482733170E-1,4.810849205E-2,2.226607651E-1,1.004958725E1
6.507938250E-1,5.042787269E-2,2.077718228E-1,9.956512451E0
6.532886970E-1,5.386953801E-2,1.941547990E-1,9.876530647E0
6.557587910E-1,5.633855984E-2,1.972971857E-1,9.802460670E0
6.582532160E-1,7.900865376E-2,1.929576993E-1,9.695020676E0
6.607481290E-1,8.140286058E-2,1.937058866E-1,9.626935005E0
6.632426370E-1,7.788637280E-2,2.002151161E-1,9.560196877E0
6.657378760E-1,6.815993041E-2,1.794154942E-1,9.475502014E0
6.682344180E-1,6.479308009E-2,2.017114908E-1,9.407267570E0
6.707529310E-1,7.190086693E-2,2.015618533E-1,9.381006241E0
6.732229020E-1,5.042787269E-2,2.026093155E-1,9.347487450E0
6.757432070E-1,4.803367332E-2,1.953518987E-1,9.336788177E0
6.782380790E-1,5.050269142E-2,2.084451914E-1,9.328408241E0
6.807330340E-1,5.888239667E-2,2.086696476E-1,9.372626305E0
6.832283950E-1,4.818331078E-2,2.195931822E-1,9.385644913E0
6.857020280E-1,6.007950008E-2,2.126350403E-1,9.434725761E0
6.881944600E-1,4.923077300E-2,1.975216419E-1,9.493309021E0
6.906877870E-1,9.105448425E-2,2.132335901E-1,9.547028542E0
6.932081310E-1,9.457096457E-2,1.969230920E-1,9.617583275E0
6.956953950E-1,1.076642573E-1,1.995417476E-1,9.671378136E0
6.981980810E-1,1.328033805E-1,2.047790587E-1,9.756147385E0
7.006929140E-1,1.565957516E-1,2.004395723E-1,9.843461037E0
7.031874200E-1,1.755997241E-1,1.900397539E-1,9.912817955E0
7.056568620E-1,1.839794368E-1,1.917605996E-1,1.000716496E1
7.081772070E-1,1.993921101E-1,1.851017177E-1,1.010398006E1
7.106722830E-1,2.292448133E-1,1.793406755E-1,1.014947033E1
7.131414810E-1,2.531120181E-1,1.805377752E-1,1.016503239E1
7.156623550E-1,2.470516860E-1,1.724573374E-1,1.020206738E1
7.181565770E-1,2.709937096E-1,1.868973672E-1,1.023663425E1
7.206517760E-1,2.769044042E-1,1.724573374E-1,1.022960091E1
7.231466900E-1,2.578255832E-1,1.760486364E-1,1.021164417E1
7.256417250E-1,2.614169121E-1,1.723825186E-1,1.020685577E1
7.281363130E-1,2.400187254E-1,1.889174730E-1,1.016016865E1
7.306441670E-1,2.103156596E-1,2.044049650E-1,1.013375759E1
7.331264260E-1,2.043301463E-1,2.066495270E-1,1.010629940E1
7.356220720E-1,1.806125939E-1,2.254290581E-1,1.003686810E1
7.380973730E-1,1.781435758E-1,2.154781520E-1,9.969979286E0
7.406116960E-1,1.496376097E-1,2.342576683E-1,9.904139519E0
7.430809750E-1,1.125274822E-1,2.136076838E-1,9.825354576E0
7.456011170E-1,1.066167951E-1,2.204910070E-1,9.769165993E0
7.480969670E-1,1.053448766E-1,2.057517022E-1,9.704747200E0
7.505910660E-1,9.808745235E-2,1.972971857E-1,9.678485870E0
7.530863460E-1,1.040729582E-1,1.922095120E-1,9.640328407E0
7.555347920E-1,1.074398011E-1,1.647510082E-1,9.638083458E0
7.580758880E-1,9.419687092E-2,1.457470357E-1,9.654842377E0
7.605712500E-1,1.072901636E-1,1.398363411E-1,9.662099838E0
7.630682390E-1,1.046715081E-1,1.135001257E-1,9.651475906E0
7.655614440E-1,1.212812811E-1,9.689035267E-2,9.687389374E0
7.680512710E-1,1.306336373E-1,6.606500596E-2,9.730559349E0
7.705505800E-1,1.435772777E-1,4.593874514E-2,9.764153481E0
7.730460230E-1,1.625064462E-1,1.616086066E-2,9.792958260E0
7.755212420E-1,1.671452075E-1,9.726444259E-4,9.849222183E0
7.780350360E-1,1.597381383E-1,-3.927987069E-2,9.899575233E0
7.804898700E-1,1.823334247E-1,-4.616320133E-2,9.962946892E0
7.830253920E-1,1.821089685E-1,-7.960720360E-2,9.964293480E0
7.855205100E-1,1.892167479E-1,-8.304887265E-2,9.988235474E0
7.879947940E-1,2.081459165E-1,-1.057937890E-1,1.000028133E1
