"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.039987390E-1,-1.228058934E-1,-2.417647392E-1,-2.594678290E-2
3.064676520E-1,-1.315158904E-1,-2.298072278E-1,-1.975153200E-2
3.089630140E-1,-1.388769150E-1,-2.175666094E-1,-1.289012190E-2
3.114831950E-1,-1.478367150E-1,-2.021450996E-1,-1.189088821E-2
3.139804700E-1,-1.563468575E-1,-1.825934052E-1,-1.194084994E-2
3.164732270E-1,-1.649735868E-1,-1.589115560E-1,-1.149119437E-2
3.189422200E-1,-1.743830442E-1,-1.341471970E-1,-1.117477007E-2
3.214626880E-1,-1.868235022E-1,-1.044199839E-1,-1.179096475E-2
3.239581720E-1,-2.025780976E-1,-7.334379852E-2,-1.029211283E-2
3.264283870E-1,-2.225794345E-1,-3.633882105E-2,-9.209609590E-3
3.289470630E-1,-2.461447120E-1,4.146822263E-3,-8.276990615E-3
3.314056000E-1,-2.682444453E-1,4.476569593E-2,-4.696401302E-3
3.339372980E-1,-2.919429541E-1,8.686676621E-2,-3.230857430E-3
3.364327810E-1,-3.163076043E-1,1.264364421E-1,2.331546712E-4
3.389271250E-1,-3.385905325E-1,1.619925350E-1,2.498085611E-3
3.414222020E-1,-3.603738546E-1,1.931186765E-1,3.597243456E-3
3.439168300E-1,-3.811246157E-1,2.193152755E-1,3.380742623E-3
3.464120290E-1,-3.991108239E-1,2.394665033E-1,3.730474738E-3
3.489073090E-1,-4.174301326E-1,2.534890771E-1,2.881125547E-3
3.513763840E-1,-4.306033552E-1,2.618660033E-1,-7.161179092E-4
3.538975020E-1,-4.412618577E-1,2.644640207E-1,-4.962863866E-3
3.563776460E-1,-4.484063983E-1,2.575692832E-1,-7.177833002E-3
3.588867200E-1,-4.520036280E-1,2.451621294E-1,-1.310662273E-2
3.613820810E-1,-4.613964260E-1,2.082404196E-1,-2.053426392E-2
3.638616550E-1,-4.844620824E-1,1.532658935E-1,-3.360757977E-2
3.663715830E-1,-5.028979778E-1,9.249578416E-2,-5.314261094E-2
3.688197840E-1,-5.176866055E-1,3.650536016E-2,-6.806451082E-2
3.713616550E-1,-5.210673809E-1,-1.382274088E-2,-7.928924263E-2
3.738568130E-1,-5.153883696E-1,-5.325918645E-2,-8.685011417E-2
3.763512380E-1,-5.035308003E-1,-8.660030365E-2,-8.939816058E-2
3.788466400E-1,-4.815809727E-1,-1.147787124E-1,-8.680015057E-2
3.813306490E-1,-4.542185962E-1,-1.348633170E-1,-8.065485954E-2
3.838361410E-1,-4.229259193E-1,-1.480365545E-1,-7.465945184E-2
3.863315440E-1,-3.901010752E-1,-1.550478488E-1,-6.178598851E-2
3.888258470E-1,-3.596410751E-1,-1.559138596E-1,-5.026148632E-2
3.913215350E-1,-3.359259069E-1,-1.486027986E-1,-4.526531324E-2
3.937764490E-1,-3.167073131E-1,-1.353962421E-1,-3.921994567E-2
3.963105480E-1,-3.056324720E-1,-1.237052083E-1,-3.315792605E-2
3.988063160E-1,-2.945909202E-1,-1.116477773E-1,-3.240849823E-2
4.013005780E-1,-2.870133817E-1,-1.003730819E-1,-3.139261156E-2
4.037956550E-1,-2.792859972E-1,-8.894850314E-2,-3.049330041E-2
4.062595230E-1,-2.699598074E-1,-7.647473365E-2,-2.867802419E-2
4.087853200E-1,-2.638478279E-1,-6.356795132E-2,-2.752890438E-2
4.112808850E-1,-2.581188679E-1,-5.106087402E-2,-2.319888957E-2
4.137496760E-1,-2.477601469E-1,-4.286715016E-2,-2.138361335E-2
4.162701010E-1,-2.413816899E-1,-4.609800875E-2,-1.818606444E-2
4.187647710E-1,-2.354695648E-1,-5.895482376E-2,-1.722013764E-2
4.212600520E-1,-2.223296314E-1,-6.788131595E-2,-2.156680636E-2
4.237546810E-1,-2.066249996E-1,-7.614165545E-2,-2.128368989E-2
4.262510990E-1,-1.905206740E-1,-8.188725263E-2,-2.073411085E-2
4.287456880E-1,-1.713187248E-1,-8.788265288E-2,-1.700363681E-2
4.312258720E-1,-1.500183791E-1,-9.750860929E-2,-1.115811616E-2
4.337097990E-1,-1.309663057E-1,-1.051194444E-1,-6.894716527E-3
4.362043870E-1,-1.111648157E-1,-1.182094142E-1,-2.614662983E-3
4.387246110E-1,-9.457752854E-2,-1.307331473E-1,1.249042805E-3
4.412199310E-1,-7.848985493E-2,-1.411251873E-1,4.330015276E-3
4.437143160E-1,-6.253541261E-2,-1.501682550E-1,8.993108757E-3
4.462100030E-1,-4.856278747E-2,-1.586617529E-1,1.392266434E-2
4.487039810E-1,-3.767113388E-2,-1.659561545E-1,1.658728905E-2
4.511931980E-1,-2.636313066E-2,-1.712354422E-1,2.045099437E-2
4.536942150E-1,-1.718682982E-2,-1.787463576E-1,2.669620886E-2
4.561895360E-1,-7.377679925E-3,-1.881558150E-1,3.016022220E-2
